samAccountName,distinguishedName,displayName,userPrincipalName,enabled,lastLogonTimestamp,memberOf,description
jacob.garcia,"CN=Jacob Garcia,OU=Manufacturing,DC=northwind,DC=local",Jacob Garcia,jacob.garcia@northwindmaterials.com,TRUE,134305958456116288,All-Employees;Manufacturing-All,Plant Technician - Manufacturing
jose.huffman,"CN=Jose Huffman,OU=QualityAssurance,DC=northwind,DC=local",Jose Huffman,jose.huffman@northwindmaterials.com,TRUE,134273230428116448,All-Employees;Quality-Assurance-All,QA Analyst - Quality Assurance
renee.murphy,"CN=Renee Murphy,OU=SupplyChain,DC=northwind,DC=local",Renee Murphy,renee.murphy@northwindmaterials.com,TRUE,134278510836778448,All-Employees;Supply-Chain-All,Procurement Specialist - Supply Chain
sean.myers,"CN=Sean Myers,OU=Manufacturing,DC=northwind,DC=local",Sean Myers,sean.myers@northwindmaterials.com,FALSE,134282464263174384,All-Employees;Manufacturing-All;Plant-Ops-Leads,Production Associate - Manufacturing
holly.wang,"CN=Holly Wang,OU=SupplyChain,DC=northwind,DC=local",Holly Wang,holly.wang@northwindmaterials.com,TRUE,134279917066241872,All-Employees;Supply-Chain-All,Procurement Specialist - Supply Chain
ann.foster,"CN=Ann Foster,OU=SupplyChain,DC=northwind,DC=local",Ann Foster,ann.foster@northwindmaterials.com,FALSE,134276049048626144,All-Employees;Supply-Chain-All,Procurement Specialist - Supply Chain
james.collins,"CN=James Collins,OU=InformationTechnology,DC=northwind,DC=local",James Collins,james.collins@northwindmaterials.com,TRUE,134268348751038544,All-Employees;Information-Technology-All,"Manager, Information Technology - Information Technology"
jose.moore,"CN=Jose Moore,OU=Engineering,DC=northwind,DC=local",Jose Moore,jose.moore@northwindmaterials.com,TRUE,134255349515806176,All-Employees;Engineering-All,QA Engineer - Engineering
sean.williams,"CN=Sean Williams,OU=Finance,DC=northwind,DC=local",Sean Williams,sean.williams@northwindmaterials.com,FALSE,134306471235286544,All-Employees;Finance-All,Financial Analyst - Finance
cynthia.powell,"CN=Cynthia Powell,OU=Engineering,DC=northwind,DC=local",Cynthia Powell,cynthia.powell@northwindmaterials.com,TRUE,134323581260686304,All-Employees;Engineering-All,Senior Software Engineer - Engineering
ctr.michael.miller,"CN=Michael Miller,OU=Contractors,DC=northwind,DC=local",Michael Miller,michael.miller@contractor.northwindmaterials.com,TRUE,134255500597460816,Contractors-All;All-Employees,Contractor - Staffing Partner A - vendor engagement
kelly.brooks,"CN=Kelly Brooks,OU=Legal,DC=northwind,DC=local",Kelly Brooks,kelly.brooks@northwindmaterials.com,TRUE,134319259488277856,All-Employees;Legal-All,Compliance Analyst - Legal
tracy.kelly,"CN=Tracy Kelly,OU=SupplyChain,DC=northwind,DC=local",Tracy Kelly,tracy.kelly@northwindmaterials.com,TRUE,134319225302118912,All-Employees;Supply-Chain-All,Procurement Specialist - Supply Chain
stacey.vega,"CN=Stacey Vega,OU=QualityAssurance,DC=northwind,DC=local",Stacey Vega,stacey.vega@northwindmaterials.com,TRUE,134285038041607728,All-Employees;Quality-Assurance-All,QA Analyst - Quality Assurance
wendy.garrett,"CN=Wendy Garrett,OU=Engineering,DC=northwind,DC=local",Wendy Garrett,wendy.garrett@northwindmaterials.com,TRUE,134288940707772400,All-Employees;Engineering-All,DevOps Engineer - Engineering
svc-student20,"CN=svc-student20,OU=ServiceAccounts,DC=northwind,DC=local",svc-student20,svc-student20@northwindmaterials.com,TRUE,134321214354638560,Service-Accounts,Non-interactive service/CI account
jessica.flores,"CN=Jessica Flores,OU=Engineering,DC=northwind,DC=local",Jessica Flores,jessica.flores@northwindmaterials.com,FALSE,134312342673606960,All-Employees;Engineering-All,DevOps Engineer - Engineering
mary.stephenson,"CN=Mary Stephenson,OU=QualityAssurance,DC=northwind,DC=local",Mary Stephenson,mary.stephenson@northwindmaterials.com,TRUE,134264426376350368,All-Employees;Quality-Assurance-All,Quality Inspector - Quality Assurance
timothy.mendoza,"CN=Timothy Mendoza,OU=Operations,DC=northwind,DC=local",Timothy Mendoza,timothy.mendoza@northwindmaterials.com,FALSE,134326783340223248,All-Employees;Operations-All,Logistics Coordinator - Operations
kari.wilson,"CN=Kari Wilson,OU=Engineering,DC=northwind,DC=local",Kari Wilson,kari.wilson@northwindmaterials.com,FALSE,134304958097265056,All-Employees;Engineering-All,Senior Software Engineer - Engineering
marilyn.jimenez,"CN=Marilyn Jimenez,OU=SupplyChain,DC=northwind,DC=local",Marilyn Jimenez,marilyn.jimenez@northwindmaterials.com,TRUE,134298836374753136,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
mary.richardson,"CN=Mary Richardson,OU=CustomerSuccess,DC=northwind,DC=local",Mary Richardson,mary.richardson@northwindmaterials.com,FALSE,134268524179923552,All-Employees;Customer-Success-All,Support Specialist - Customer Success
andrew.clark,"CN=Andrew Clark,OU=Legal,DC=northwind,DC=local",Andrew Clark,andrew.clark@northwindmaterials.com,TRUE,134272572761433808,All-Employees;Legal-All,Paralegal - Legal
amanda.glover,"CN=Amanda Glover,OU=Finance,DC=northwind,DC=local",Amanda Glover,amanda.glover@northwindmaterials.com,FALSE,134287983027890496,All-Employees;Finance-All,Accountant - Finance
troy.khan,"CN=Troy Khan,OU=Finance,DC=northwind,DC=local",Troy Khan,troy.khan@northwindmaterials.com,TRUE,134315918322273312,All-Employees;Finance-All,AP Specialist - Finance
joshua.pineda,"CN=Joshua Pineda,OU=CustomerSuccess,DC=northwind,DC=local",Joshua Pineda,joshua.pineda@northwindmaterials.com,TRUE,134252484760513040,All-Employees;Customer-Success-All,Customer Success Associate - Customer Success
jacqueline.farrell,"CN=Jacqueline Farrell,OU=Operations,DC=northwind,DC=local",Jacqueline Farrell,jacqueline.farrell@northwindmaterials.com,TRUE,134309810542861424,All-Employees;Operations-All,Operations Analyst - Operations
jacob.smith,"CN=Jacob Smith,OU=Legal,DC=northwind,DC=local",Jacob Smith,jacob.smith@northwindmaterials.com,TRUE,134307980670695536,All-Employees;Legal-All,Paralegal - Legal
ctr.robert.smith,"CN=Robert Smith,OU=Contractors,DC=northwind,DC=local",Robert Smith,robert.smith@contractor.northwindmaterials.com,TRUE,134261434467089888,Contractors-All;All-Employees,Contractor - Staffing Partner B - vendor engagement
christopher.fletcher,"CN=Christopher Fletcher,OU=InformationTechnology,DC=northwind,DC=local",Christopher Fletcher,christopher.fletcher@northwindmaterials.com,TRUE,134292610719883344,All-Employees;Information-Technology-All,Network Engineer - Information Technology
derrick.cook,"CN=Derrick Cook,OU=SupplyChain,DC=northwind,DC=local",Derrick Cook,derrickc@northwindmaterials.com,TRUE,134317684495793264,All-Employees;Supply-Chain-All,Procurement Specialist - Supply Chain
crystal.thompson,"CN=Crystal Thompson,OU=CustomerSuccess,DC=northwind,DC=local",Crystal Thompson,crystal.thompson@northwindmaterials.com,TRUE,134303559092207520,All-Employees;Customer-Success-All,Support Specialist - Customer Success
leslie.walton,"CN=Leslie Walton,OU=SupplyChain,DC=northwind,DC=local",Leslie Walton,leslie.walton@northwindmaterials.com,TRUE,134313551931330864,All-Employees;Supply-Chain-All,"Manager, Supply Chain - Supply Chain"
amy.morrison,"CN=Amy Morrison,OU=SupplyChain,DC=northwind,DC=local",Amy Morrison,amy.morrison@northwindmaterials.com,TRUE,134251316950192000,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
leonard.smith7,"CN=Leonard Smith,OU=Users,DC=northwind,DC=local",Leonard Smith,leonard.smith7@northwindmaterials.com,FALSE,134100604929144592,All-Employees,
daniel.bird,"CN=Daniel Bird,OU=SupplyChain,DC=northwind,DC=local",Daniel Bird,daniel.bird@northwindmaterials.com,TRUE,134314383081029376,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
john.jones,"CN=John Jones,OU=CustomerSuccess,DC=northwind,DC=local",John Jones,john.jones@northwindmaterials.com,TRUE,134289584527547456,All-Employees;Customer-Success-All,Support Specialist - Customer Success
edward.murphy,"CN=Edward Murphy,OU=CustomerSuccess,DC=northwind,DC=local",Edward Murphy,edward.murphy@northwindmaterials.com,TRUE,134326573075598336,All-Employees;Customer-Success-All,Customer Success Associate - Customer Success
mary.dunn,"CN=Mary Dunn,OU=SupplyChain,DC=northwind,DC=local",Mary Dunn,mary.dunn@northwindmaterials.com,TRUE,134273174776607280,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
kathryn.hill,"CN=Kathryn Hill,OU=InformationTechnology,DC=northwind,DC=local",Kathryn Hill,kathryn.hill@northwindmaterials.com,TRUE,134296396103636208,All-Employees;Information-Technology-All,Systems Administrator - Information Technology
judy.fox,"CN=Judy Fox,OU=Engineering,DC=northwind,DC=local",Judy Fox,judy.fox@northwindmaterials.com,TRUE,134303653482855856,All-Employees;Engineering-All,Software Engineer - Engineering
renee.rodriguez,"CN=Renee Rodriguez,OU=QualityAssurance,DC=northwind,DC=local",Renee Rodriguez,renee.rodriguez@northwindmaterials.com,TRUE,134261460541417616,All-Employees;Quality-Assurance-All,Quality Inspector - Quality Assurance
michael.taylor,"CN=Michael Taylor,OU=Legal,DC=northwind,DC=local",Michael Taylor,michael.taylor@northwindmaterials.com,TRUE,134293850203239872,All-Employees;Legal-All,Compliance Analyst - Legal
janet.gregory,"CN=Janet Gregory,OU=QualityAssurance,DC=northwind,DC=local",Janet Gregory,janet.gregory@northwindmaterials.com,FALSE,134297544138251168,All-Employees;Quality-Assurance-All,Quality Inspector - Quality Assurance
dawn.coleman,"CN=Dawn Coleman,OU=Engineering,DC=northwind,DC=local",Dawn Coleman,dawn.coleman@northwindmaterials.com,TRUE,134278580809371200,All-Employees;Engineering-All,QA Engineer - Engineering
brenda.bailey,"CN=Brenda Bailey,OU=QualityAssurance,DC=northwind,DC=local",Brenda Bailey,brenda.bailey@northwindmaterials.com,TRUE,134286171000087184,All-Employees;Quality-Assurance-All,Quality Inspector - Quality Assurance
billy.avila,"CN=Billy Avila,OU=InformationTechnology,DC=northwind,DC=local",Billy Avila,billy.avila@northwindmaterials.com,FALSE,134286770221677072,All-Employees;Information-Technology-All,Systems Administrator - Information Technology
ctr.wendy.tucker,"CN=Wendy Tucker,OU=Contractors,DC=northwind,DC=local",Wendy Tucker,wendy.tucker@contractor.northwindmaterials.com,TRUE,134304118135603280,Contractors-All;All-Employees,Contractor - Staffing Partner A - vendor engagement
samantha.rodriguez,"CN=Samantha Rodriguez,OU=SupplyChain,DC=northwind,DC=local",Samantha Rodriguez,samantha.rodriguez@northwindmaterials.com,TRUE,134292626305313040,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
svc-describe22,"CN=svc-describe22,OU=ServiceAccounts,DC=northwind,DC=local",svc-describe22,svc-describe22@northwindmaterials.com,TRUE,134326069512976864,Service-Accounts,Non-interactive service/CI account
john.grant,"CN=John Grant,OU=Finance,DC=northwind,DC=local",John Grant,john.grant@northwindmaterials.com,TRUE,134255056073145232,All-Employees;Finance-All,Financial Analyst - Finance
ctr.chad.sullivan,"CN=Chad Sullivan,OU=Contractors,DC=northwind,DC=local",Chad Sullivan,chad.sullivan@contractor.northwindmaterials.com,TRUE,134272706669799152,Contractors-All;All-Employees,Contractor - Staffing Partner A - vendor engagement
terri.garcia,"CN=Terri Garcia,OU=Finance,DC=northwind,DC=local",Terri Garcia,terri.garcia@northwindmaterials.com,TRUE,134324772799229120,All-Employees;Finance-All,Financial Analyst - Finance
william.armstrong,"CN=William Armstrong,OU=Finance,DC=northwind,DC=local",William Armstrong,william.armstrong@northwindmaterials.com,TRUE,134275821199954544,All-Employees;Finance-All,Accountant - Finance
travis.allen,"CN=Travis Allen,OU=Manufacturing,DC=northwind,DC=local",Travis Allen,travis.allen@northwindmaterials.com,TRUE,134326364496012768,All-Employees;Manufacturing-All,Machine Operator - Manufacturing
nicole.davis,"CN=Nicole Davis,OU=Operations,DC=northwind,DC=local",Nicole Davis,nicole.davis@northwindmaterials.com,TRUE,134286865881478304,All-Employees;Operations-All,Logistics Coordinator - Operations
sandra.romero,"CN=Sandra Romero,OU=Finance,DC=northwind,DC=local",Sandra Romero,sandra.romero@northwindmaterials.com,TRUE,134323044649221440,All-Employees;Finance-All,AP Specialist - Finance
hannah.abbott,"CN=Hannah Abbott,OU=InformationTechnology,DC=northwind,DC=local",Hannah Abbott,hannah.abbott@northwindmaterials.com,TRUE,134276171746050016,All-Employees;Information-Technology-All,Network Engineer - Information Technology
ctr.diana.perez,"CN=Diana Perez,OU=Contractors,DC=northwind,DC=local",Diana Perez,diana.perez@contractor.northwindmaterials.com,TRUE,134317858270481856,Contractors-All;All-Employees,Contractor - Staffing Partner A - vendor engagement
natalie.ford,"CN=Natalie Ford,OU=Engineering,DC=northwind,DC=local",Natalie Ford,natalie.ford@northwindmaterials.com,TRUE,134272000037607904,All-Employees;Engineering-All,QA Engineer - Engineering
ctr.robert.allen,"CN=Robert Allen,OU=Contractors,DC=northwind,DC=local",Robert Allen,robert.allen@contractor.northwindmaterials.com,TRUE,134319506560814624,Contractors-All;All-Employees,Contractor - Staffing Partner A - vendor engagement
julie.obrien,"CN=Julie Obrien,OU=Legal,DC=northwind,DC=local",Julie Obrien,julie.obrien@northwindmaterials.com,TRUE,134323518276365312,All-Employees;Legal-All,Compliance Analyst - Legal
debra.thompson,"CN=Debra Thompson,OU=InformationTechnology,DC=northwind,DC=local",Debra Thompson,debra.thompson@northwindmaterials.com,FALSE,134259157186191808,All-Employees;Information-Technology-All,Network Engineer - Information Technology
ctr.alexandra.hubbard,"CN=Alexandra Hubbard,OU=Contractors,DC=northwind,DC=local",Alexandra Hubbard,alexandra.hubbard@contractor.northwindmaterials.com,TRUE,134258324428756960,Contractors-All;All-Employees,Contractor - Staffing Partner B - vendor engagement
daniel.buchanan,"CN=Daniel Buchanan,OU=Finance,DC=northwind,DC=local",Daniel Buchanan,daniel.buchanan@northwindmaterials.com,TRUE,134278824322672768,All-Employees;Finance-All,Financial Analyst - Finance
steven.bishop,"CN=Steven Bishop,OU=CustomerSuccess,DC=northwind,DC=local",Steven Bishop,steven.bishop@northwindmaterials.com,TRUE,134259078352061152,All-Employees;Customer-Success-All,Customer Success Associate - Customer Success
ctr.anthony.zimmerman,"CN=Anthony Zimmerman,OU=Contractors,DC=northwind,DC=local",Anthony Zimmerman,anthony.zimmerman@contractor.northwindmaterials.com,TRUE,134321093420077552,Contractors-All;All-Employees,Contractor - Staffing Partner B - vendor engagement
matthew.klein,"CN=Matthew Klein,OU=SupplyChain,DC=northwind,DC=local",Matthew Klein,matthew.klein@northwindmaterials.com,TRUE,134303458147264512,All-Employees;Supply-Chain-All,Procurement Specialist - Supply Chain
mitchell.hoffman,"CN=Mitchell Hoffman,OU=Engineering,DC=northwind,DC=local",Mitchell Hoffman,mitchell.hoffman@northwindmaterials.com,TRUE,134300126837730272,All-Employees;Engineering-All,QA Engineer - Engineering
gregory.anderson,"CN=Gregory Anderson,OU=QualityAssurance,DC=northwind,DC=local",Gregory Anderson,gregory.anderson@northwindmaterials.com,TRUE,134267634787877312,All-Employees;Quality-Assurance-All,Quality Inspector - Quality Assurance
edward.jenkins,"CN=Edward Jenkins,OU=CustomerSuccess,DC=northwind,DC=local",Edward Jenkins,edward.jenkins@northwindmaterials.com,TRUE,134292413497308304,All-Employees;Customer-Success-All,Customer Success Associate - Customer Success
tracey.garcia,"CN=Tracey Garcia,OU=SupplyChain,DC=northwind,DC=local",Tracey Garcia,tracey.garcia@northwindmaterials.com,TRUE,134256477517096240,All-Employees;Supply-Chain-All,"Manager, Supply Chain - Supply Chain"
deborah.kerr,"CN=Deborah Kerr,OU=Engineering,DC=northwind,DC=local",Deborah Kerr,deborah.kerr@northwindmaterials.com,TRUE,134293723523076576,All-Employees;Engineering-All,QA Engineer - Engineering
hannah.johnston,"CN=Hannah Johnston,OU=Finance,DC=northwind,DC=local",Hannah Johnston,hannah.johnston@northwindmaterials.com,TRUE,134309128738551504,All-Employees;Finance-All,Financial Analyst - Finance
johnny.ortiz2,"CN=Johnny Ortiz,OU=Users,DC=northwind,DC=local",Johnny Ortiz,johnny.ortiz2@northwindmaterials.com,TRUE,134086018826087968,All-Employees,
jessica.sheppard,"CN=Jessica Sheppard,OU=InformationTechnology,DC=northwind,DC=local",Jessica Sheppard,jessica.sheppard@northwindmaterials.com,FALSE,134310261026840512,All-Employees;Information-Technology-All,IT Support Specialist - Information Technology
john.thompson,"CN=John Thompson,OU=CustomerSuccess,DC=northwind,DC=local",John Thompson,john.thompson@northwindmaterials.com,TRUE,134268182058780256,All-Employees;Customer-Success-All,Customer Success Associate - Customer Success
ctr.courtney.little,"CN=Courtney Little,OU=Contractors,DC=northwind,DC=local",Courtney Little,courtney.little@contractor.northwindmaterials.com,TRUE,134294558611812272,Contractors-All;All-Employees,Contractor - Staffing Partner A - vendor engagement
kristen.stevens,"CN=Kristen Stevens,OU=CustomerSuccess,DC=northwind,DC=local",Kristen Stevens,kristen.stevens@northwindmaterials.com,TRUE,134311696953385200,All-Employees;Customer-Success-All,Customer Success Associate - Customer Success
charles.lewis,"CN=Charles Lewis,OU=Legal,DC=northwind,DC=local",Charles Lewis,charles.lewis@northwindmaterials.com,TRUE,134289155000746192,All-Employees;Legal-All,"Manager, Legal - Legal"
lisa.stark,"CN=Lisa Stark,OU=HumanResources,DC=northwind,DC=local",Lisa Stark,lisa.stark@northwindmaterials.com,TRUE,134303625501698096,All-Employees;Human-Resources-All,Recruiter - Human Resources
lorraine.levy,"CN=Lorraine Levy,OU=Finance,DC=northwind,DC=local",Lorraine Levy,lorraine.levy@northwindmaterials.com,FALSE,134250281611958944,All-Employees;Finance-All,AP Specialist - Finance
andrea.reyes,"CN=Andrea Reyes,OU=InformationTechnology,DC=northwind,DC=local",Andrea Reyes,andrea.reyes@northwindmaterials.com,TRUE,134278071040830672,All-Employees;Information-Technology-All,Systems Administrator - Information Technology
bryan.garcia,"CN=Bryan Garcia,OU=QualityAssurance,DC=northwind,DC=local",Bryan Garcia,bryan.garcia@northwindmaterials.com,TRUE,134300047722851776,All-Employees;Quality-Assurance-All,Quality Inspector - Quality Assurance
elizabeth.williams,"CN=Elizabeth Williams,OU=InformationTechnology,DC=northwind,DC=local",Elizabeth Williams,elizabeth.williams@northwindmaterials.com,FALSE,134288778567347088,All-Employees;Information-Technology-All,Systems Administrator - Information Technology
lisa.keith,"CN=Lisa Keith,OU=CustomerSuccess,DC=northwind,DC=local",Lisa Keith,lisa.keith@northwindmaterials.com,TRUE,134262126891760064,All-Employees;Customer-Success-All,"Manager, Customer Success - Customer Success"
ctr.ian.manning,"CN=Ian Manning,OU=Contractors,DC=northwind,DC=local",Ian Manning,ian.manning@contractor.northwindmaterials.com,TRUE,134307680809987472,Contractors-All;All-Employees,Contractor - Staffing Partner B - vendor engagement
dana.gray,"CN=Dana Gray,OU=CustomerSuccess,DC=northwind,DC=local",Dana Gray,dana.gray@northwindmaterials.com,TRUE,134283905982816768,All-Employees;Customer-Success-All,Customer Success Associate - Customer Success
ctr.holly.banks,"CN=Holly Banks,OU=Contractors,DC=northwind,DC=local",Holly Banks,holly.banks@contractor.northwindmaterials.com,TRUE,134284966364435712,Contractors-All;All-Employees,Contractor - Staffing Partner A - vendor engagement
george.campbell,"CN=George Campbell,OU=QualityAssurance,DC=northwind,DC=local",George Campbell,george.campbell@northwindmaterials.com,TRUE,134279829711945520,All-Employees;Quality-Assurance-All,QA Analyst - Quality Assurance
christopher.cortez,"CN=Christopher Cortez,OU=Legal,DC=northwind,DC=local",Christopher Cortez,christopher.cortez@northwindmaterials.com,TRUE,134320978443656400,All-Employees;Legal-All,Compliance Analyst - Legal
justin.lewis10,"CN=Justin Lewis,OU=Users,DC=northwind,DC=local",Justin Lewis,justin.lewis10@northwindmaterials.com,TRUE,134019245678908288,All-Employees,
richard.cunningham,"CN=Richard Cunningham,OU=SupplyChain,DC=northwind,DC=local",Richard Cunningham,richard.cunningham@northwindmaterials.com,FALSE,134282142820107552,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
tammie.vincent,"CN=Tammie Vincent,OU=SupplyChain,DC=northwind,DC=local",Tammie Vincent,tammie.vincent@northwindmaterials.com,TRUE,134306896880153600,All-Employees;Supply-Chain-All,Procurement Specialist - Supply Chain
keith.landry,"CN=Keith Landry,OU=QualityAssurance,DC=northwind,DC=local",Keith Landry,keith.landry@northwindmaterials.com,TRUE,134307596999866656,All-Employees;Quality-Assurance-All,QA Analyst - Quality Assurance
douglas.lawson,"CN=Douglas Lawson,OU=SupplyChain,DC=northwind,DC=local",Douglas Lawson,douglas.lawson@northwindmaterials.com,FALSE,134278210006196656,All-Employees;Supply-Chain-All,Supply Chain Analyst - Supply Chain
brent.randolph,"CN=Brent Randolph,OU=Legal,DC=northwind,DC=local",Brent Randolph,brent.randolph@northwindmaterials.com,TRUE,134253470289217536,All-Employees;Legal-All,Compliance Analyst - Legal
michele.taylor,"CN=Michele Taylor,OU=HumanResources,DC=northwind,DC=local",Michele Taylor,michele.taylor@northwindmaterials.com,TRUE,134319083277497840,All-Employees;Human-Resources-All,HR Generalist - Human Resources
brenda.duarte,"CN=Brenda Duarte,OU=Finance,DC=northwind,DC=local",Brenda Duarte,brenda.duarte@northwindmaterials.com,TRUE,134300031768872624,All-Employees;Finance-All,Financial Analyst - Finance
candice.carr,"CN=Candice Carr,OU=Engineering,DC=northwind,DC=local",Candice Carr,candice.carr@northwindmaterials.com,TRUE,134325258585174928,All-Employees;Engineering-All,Software Engineer - Engineering
chloe.green,"CN=Chloe Green,OU=CustomerSuccess,DC=northwind,DC=local",Chloe Green,chloe.green@northwindmaterials.com,TRUE,134305916602650944,All-Employees;Customer-Success-All,Customer Success Associate - Customer Success
martin.galvan,"CN=Martin Galvan,OU=Finance,DC=northwind,DC=local",Martin Galvan,martin.galvan@northwindmaterials.com,TRUE,134284497817708176,All-Employees;Finance-All,"Manager, Finance - Finance"
elizabeth.mcmillan,"CN=Elizabeth Mcmillan,OU=SupplyChain,DC=northwind,DC=local",Elizabeth Mcmillan,elizabeth.mcmillan@northwindmaterials.com,TRUE,134253583810321248,All-Employees;Supply-Chain-All,"Manager, Supply Chain - Supply Chain"
amber.taylor,"CN=Amber Taylor,OU=CustomerSuccess,DC=northwind,DC=local",Amber Taylor,amber.taylor@northwindmaterials.com,TRUE,134262583809989792,All-Employees;Customer-Success-All,Support Specialist - Customer Success
albert.dominguez,"CN=Albert Dominguez,OU=QualityAssurance,DC=northwind,DC=local",Albert Dominguez,albert.dominguez@northwindmaterials.com,TRUE,134287503234521136,All-Employees;Quality-Assurance-All,QA Analyst - Quality Assurance
elizabeth.duran,"CN=Elizabeth Duran,OU=Engineering,DC=northwind,DC=local",Elizabeth Duran,elizabeth.duran@northwindmaterials.com,FALSE,134314786565233328,All-Employees;Engineering-All,Senior Software Engineer - Engineering
ctr.joseph.reid,"CN=Joseph Reid,OU=Contractors,DC=northwind,DC=local",Joseph Reid,joseph.reid@contractor.northwindmaterials.com,TRUE,134256008058199024,Contractors-All;All-Employees,Contractor - Staffing Partner B - vendor engagement
joseph.anderson,"CN=Joseph Anderson,OU=QualityAssurance,DC=northwind,DC=local",Joseph Anderson,joseph.anderson@northwindmaterials.com,TRUE,134299616341102416,All-Employees;Quality-Assurance-All,Quality Inspector - Quality Assurance
ctr.julian.weaver,"CN=Julian Weaver,OU=Contractors,DC=northwind,DC=local",Julian Weaver,julian.weaver@contractor.northwindmaterials.com,TRUE,134254587218438848,Contractors-All;All-Employees,Contractor - Staffing Partner B - vendor engagement
ctr.karen.martin,"CN=Karen Martin,OU=Contractors,DC=northwind,DC=local",Karen Martin,karen.martin@contractor.northwindmaterials.com,TRUE,134276667721908304,Contractors-All;All-Employees,Contractor - Staffing Partner A - vendor engagement
martha.warner,"CN=Martha Warner,OU=CustomerSuccess,DC=northwind,DC=local",Martha Warner,martha.warner@northwindmaterials.com,TRUE,134271263750712752,All-Employees;Customer-Success-All,"Manager, Customer Success - Customer Success"
daniel.mora,"CN=Daniel Mora,OU=Finance,DC=northwind,DC=local",Daniel Mora,daniel.mora@northwindmaterials.com,TRUE,134270792840992864,All-Employees;Finance-All,Accountant - Finance
christopher.hall,"CN=Christopher Hall,OU=QualityAssurance,DC=northwind,DC=local",Christopher Hall,christopher.hall@northwindmaterials.com,TRUE,134255241334758208,All-Employees;Quality-Assurance-All,Quality Inspector - Quality Assurance
kimberly.bradley,"CN=Kimberly Bradley,OU=CustomerSuccess,DC=northwind,DC=local",Kimberly Bradley,kimberly.bradley@northwindmaterials.com,TRUE,134322505925449584,All-Employees;Customer-Success-All,Support Specialist - Customer Success
